Index,Type,Name,X,Y,Z,Description,DetailTitle,DetailDesc,SubTile,Explain
1,여민각,여민각,-301,19510,83,행궁 관련 건물,여민각(與民閣),"행궁 맞은편 광장에 선 종각(鐘閣)으로, ‘백성과 더불어 즐긴다’는 여민(與民)의 뜻을 이름에 담았다. 
정조의 민본(民本) 이념을 상징하는 도시 중심 종각으로서 설치되었으며, 
일제강점기에 소실된 뒤 2008년 10월 중건되었다. 
현재는 해넘이 타종 등 시민 참여 의식의 거점으로, 
화성문화제의 개·폐막 의식, 사전공연 장소로도 활용된다. 
종은 용주사 범종(국보 제120호)을 모형으로 제작되었다고 전한다. 
일부 지역 안내에는 ‘1796년 건립’ 전통을 상기시키며, 
매년 12월 31일 제야 타종으로 널리 알려져 있다. 
건물 치수(바닥 70.6㎡, 처마높이 5.5m, 전체높이 13.3m) 등의 세부도 공개되어 있다.",https://en.wikipedia.org/wiki/Hwaseong_Fortress?utm_source=chatgpt.com,"행궁 맞은편 광장에 선 종각으로, ‘백성과 더불어 즐긴다’는 여민의 뜻을 이름에 담았다.
정조의 민본 이념을 상징하는 도시 중심 종각으로서 설치되었으며,
일제강점기에 소실된 뒤 2008년 10월 중건되었다.
현재는 해넘이 타종 등 시민 참여 의식의 거점으로,
화성문화제의 개·폐막 의식, 사전공연 장소로도 활용된다.
종은 용주사 범종을 모형으로 제작되었다고 전한다.
일부 지역 안내에는 ‘1796년 건립’ 전통을 상기시키며, 
매년 12월 31일 제야 타종으로 널리 알려져 있다.
건물 치수 등의 세부도 공개되어 있다."
2,봉수당,봉수당,-2575,11080,523,화성 내 중심 전각,봉수당(奉壽堂),"화성행궁의 정전(正殿) 겸 최고 위상의 건물이다. 
정조 13년(1789) 동헌 기능의 ‘장남헌(壯南軒)’으로 지었고, 
정조 19년(1795) 혜경궁 홍씨 회갑진찬을 계기로 ‘봉수당’으로 개명했다. 
‘수(壽)·장(長)’ 자를 붙여 대비의 장수를 기원하는 궁중 관례에 따른 작명이다. 
정면 7칸 구조의 대청·온돌방 배치에 왕 전용 어로(御路)와 넓은 월대(越臺)를 갖춘 점이 일반 동헌과의 가장 큰 차이점이다. 
1795년 윤2월 13일 회갑진찬 때는 월대 앞에 대형 무대를 설치해 궁중연희가 펼쳐졌으며, 
『원행을묘정리의궤』·『진찬도』 등에 당시 장면이 상세히 도해되었다. 
오늘날 복원된 봉수당은 행궁 의례·문화행사의 핵심 무대로 기능한다.",https://www.swcf.or.kr/?idx=61&p=63&viewMode=view&utm_source=chatgpt.com,"화성행궁의 정전 겸 최고 위상의 건물이다.
정조 13년, 1789년에 동헌 기능의 ‘장남헌’으로 지었고, 
정조 19년, 1795년 혜경궁 홍씨 회갑진찬을 계기로 ‘봉수당’으로 개명했다.
‘수·장’ 자를 붙여 대비의 장수를 기원하는 
궁중 관례에 따른 작명이다.
정면 7칸 구조의 대청과 온돌방 배치에
왕 전용 어로와 넓은 월대를 갖춘 점이 
일반 동헌과의 가장 큰 차이점이다.
1795년 윤2월 13일 회갑진찬 때는 
월대 앞에 대형 무대를 설치해
궁중연희가 펼쳐졌으며,
『원행을묘정리의궤』와 『진찬도』 등에 
당시 장면이 상세히 도해되었다.
오늘날 복원된 봉수당은 
행궁 의례와 문화행사의 핵심 무대로 기능한다."
3,낙남헌,낙남헌,-3138,5590,352,행사 또는 접대 공간,낙남헌(樂南軒),"낙남헌은 화성행궁 북측 영역에 위치한 대표적 정청(政廳) 건물로, 
정조가 을묘원행(1795) 당시 친히 신하들을 접견하고 과거 시험을 주관했던 중요한 의례 공간이다. 
‘낙남(樂南)’이라는 명칭은 남쪽 고을(수원)에서 기쁨을 누린다는 뜻으로, 
국왕이 한양을 벗어나 지방 백성과 소통하고 정무를 돌보는 상징적 공간으로 설계되었다.

낙남헌은 앞마당을 향해 동향(東向) 배치되어 있고, 건물 전면에는 월대가 설치되며, 지붕은 팔작지붕 형식이다. 
내부는 온돌방과 대청이 함께 구성되어 있는데, 
정조가 시험관 역할을 한 별시(別試) 과거는 바로 이 낙남헌 앞마당에서 시행되었고, 
고위 문신들과의 회의와 백성 접견도 이곳을 중심으로 이뤄졌다.

또한 낙남헌은 정조가 혜경궁 홍씨의 회갑 행사 준비 상황을 직접 지휘하던 공간이기도 하며, 
『원행을묘정리의궤』와 ‘진찬도(進饌圖)’에 등장하는 연회·의식·과거 장면들이 대부분 낙남헌 영역과 연결된다. 
건물 앞쪽의 넓은 마당은 의장대 정렬, 악대 대기, 진선공 연출, 원행 참가자 접대 등 다양한 의례 무대로 활용되었다.

현재 복원된 낙남헌은 외관과 평면 구조가 원형을 상당 부분 유지하고 있으며, 
실내는 전통 방식의 우물마루·온돌과 목재 구조로 정비되어 있다. 
행궁 내 전통문화 프로그램, 연행 재현, 회의·촬영 공간으로도 활용되고 있다.",,"낙남헌은 화성행궁 북측 영역에 위치한 대표적 정청 건물로, 정조가 을묘원행 당시 친히 신하들을 접견하고 과거 시험을 주관했던 중요한 의례 공간이다.
‘낙남’이라는 명칭은 남쪽 고을, 수원에서 기쁨을 누린다는 뜻으로, 국왕이 한양을 벗어나 지방 백성과 소통하고 정무를 돌보는 상징적 공간으로 설계되었다.
낙남헌은 앞마당을 향해 동향으로 배치되어 있고, 건물 전면에는 월대가 설치되며 지붕은 팔작지붕 형식이다.
내부는 온돌방과 대청이 함께 구성되어 있는데, 정조가 시험관 역할을 한 별시 과거는 바로 이 낙남헌 앞마당에서 시행되었고, 고위 문신들과의 회의와 백성 접견도 이곳을 중심으로 이뤄졌다.
또한 낙남헌은 정조가 혜경궁 홍씨의 회갑 행사 준비 상황을 직접 지휘하던 공간이기도 하며, 『원행을묘정리의궤』와 ‘진찬도’에 등장하는 연회, 의식, 과거 장면들이 대부분 낙남헌 영역과 연결된다.
건물 앞쪽의 넓은 마당은 의장대 정렬, 악대 대기, 진선공 연출, 원행 참가자 접대 등 다양한 의례 무대로 활용되었다.
현재 복원된 낙남헌은 외관과 평면 구조가 원형을 상당 부분 유지하고 있으며, 실내는 전통 방식의 우물마루, 온돌과 목재 구조로 정비되어 있다.
행궁 내 전통문화 프로그램, 연행 재현, 회의 및 촬영 공간으로도 활용되고 있다."
4,유여택,유여택,435,15822,395,왕실 사용 공간 또는 부속 전각,유여택(有餘宅),"유여택은 행궁에 머무는 왕과 왕실 인물이 일시적으로 휴식하거나 기거하는 ‘임시 처소’ 개념의 건물이다. 
‘유여(有餘)’라는 이름은 “넉넉하고 여유가 있는 공간”이라는 의미를 담고 있으며, 
왕의 어행(御行) 중 숙식 또는 휴양을 대비해 마련된 별도 영역으로 기능했다.

정조의 화성행차 중 혜경궁 홍씨 및 왕세자 일행이 잠시 머무르거나 환복, 식사, 회의 등을 위한 공간으로 활용되었으며, 
내명부(왕비·세자빈 등) 관련 임시 체류 장소로도 쓰였다. 
건물은 주로 온돌방 중심의 단층 구조로, 외부와 직접 연결되지 않도록 담장이나 회랑으로 분리되어 사적 공간의 성격을 띤다.

『정리의궤』에서는 유여택이 단순한 숙소가 아니라 행차 중 발생할 수 있는 
건강·동선·의전 관련 변수를 흡수하는 ‘완충지대’ 역할을 했다고 기록하고 있다. 
주변에는 시종, 의녀, 나인 등이 대기하는 부속 공간도 존재했으며, 의복·침구·식료품 비치도 체계적으로 이루어졌다.
현재 복원된 유여택은 규모는 크지 않지만, 온돌방과 대청, 마룻간, 부속행랑 등이 전통 양식에 따라 재현되어 있다. 
화성행궁 해설 코스 중에서도 왕실 사적공간의 예로 자주 언급된다.",,"유여택은 행궁에 머무는 왕과 왕실 인물이 일시적으로 휴식하거나 기거하는, 임시 처소 개념의 건물이다.
‘유여’라는 이름은 넉넉하고 여유가 있는 공간이라는 의미를 담고 있으며, 왕의 어행 중 숙식 또는 휴양을 대비해 마련된 별도 영역으로 기능했다.
정조의 화성행차 중 혜경궁 홍씨 및 왕세자 일행이 잠시 머무르거나, 환복, 식사, 회의 등을 위한 공간으로 활용되었으며, 내명부 관련 임시 체류 장소로도 쓰였다.
건물은 주로 온돌방 중심의 단층 구조이며, 외부와 직접 연결되지 않도록 담장이나 회랑으로 분리되어 사적 공간의 성격을 띤다.
정리의궤에서는 유여택이 단순한 숙소가 아니라, 행차 중 발생할 수 있는 건강, 동선, 의전 관련 변수를 흡수하는 완충지대 역할을 했다고 기록하고 있다.
주변에는 시종, 의녀, 나인 등이 대기하는 부속 공간도 존재했으며, 의복, 침구, 식료품 비치도 체계적으로 이루어졌다.
현재 복원된 유여택은 규모는 크지 않지만, 온돌방과 대청, 마룻간, 부속행랑 등이 전통 양식에 따라 재현되어 있다.
화성행궁 해설 코스 중에서도 왕실 사적 공간의 예로 자주 언급된다."
5,좌익문,좌익문,2047,11508,25,행궁 출입 관련 문의 역할,좌익문(左翊門),"신풍루를 지나 첫 번째 앞·뒷마당을 구획하는 내문(內門)이다. 
행궁의 동서 축선상 두 번째 관문으로, 외문(신풍루)과 중양문 사이에 위치한다. 
궁궐식 도성문 배치 원리를 따르되, 행궁 규모에 맞춰 마당(월대·어로 포함)과 회랑을 순차적으로 통과하도록 설계되어 왕의 행차 동선을 자연스럽게 ‘정전(봉수당)’으로 이끈다. 
좌익문은 외부의 읍성/시가지와 ‘왕이 머무는 내영역’을 단계적으로 분리하는 경계이자, 의전 행렬의 정렬·환구 역할을 겸한다.",https://www.swcf.or.kr/english/?p=35,"신풍루를 지나 첫 번째 앞마당과 뒷마당을 구획하는 내문이다.
행궁의 동서 축선상 두 번째 관문으로, 외문인 신풍루와 중양문 사이에 위치한다.
궁궐식 도성문 배치 원리를 따르되, 행궁 규모에 맞춰 마당, 월대, 어로, 그리고 회랑을 순차적으로 통과하도록 설계되어 있다.
이를 통해 왕의 행차 동선이 자연스럽게 정전인 봉수당으로 이어지도록 구성되었다.
좌익문은 외부의 읍성이나 시가지와, 왕이 머무는 내영역을 단계적으로 분리하는 경계 역할을 한다.
또한 의전 행렬의 정렬과 환구 기능도 함께 담당한다."
6,우화관,우화관,3521,-131,0,연회 또는 접객 공간,우화관(于華館),"행궁 북측 회랑에 접한 장방형 건물로, ‘객사(客舍)의 성격을 띤 의례·영접 시설’이다. 
조선시대 수원부의 관청 손님(사신·관원) 접대와 숙박, 중정부에는 왕에 대한 상징(전패) 봉안과 배례가 이루어졌다. 
정조 재위기에는 지역 수령이 월 2회 왕권에 대한 배알 의식을 집행했고, 
을묘원행(1795) 기간에는 과거 시험(문과 별시) 등 국가급 행사가 이곳과 낙남헌 일대에서 거행되었다. 
배치도 상 우화관은 북쪽 담장에 기대어 있으며, 뒤로 연못과 낙남헌이 이어진다.",https://www.swcf.or.kr/english/?p=35,"행궁 북측 회랑에 접한 장방형 건물로, 객사의 성격을 띤 의례와 영접 시설이다.
조선시대 수원부의 관청 손님인 사신과 관원을 접대하고 숙박시키는 공간이었으며, 
중정부에는 왕에 대한 상징인 전패를 봉안하고 배례가 이루어졌다.
정조 재위기에는 지역 수령이 매월 두 차례 왕권에 대한 배알 의식을 집행했다.
또한 을묘원행, 1795년 기간에는 과거 시험인 문과 별시 등 
국가급 행사가 이곳과 낙남헌 일대에서 거행되었다.
배치도상 우화관은 북쪽 담장에 기대어 있으며
뒤로는 연못과 낙남헌이 이어진다."
7,별주,별주,8558,20212,22,부속 건물 또는 숙소 용도,별주(別廚),"행궁 내 ‘왕실 연회·진찬·능행’에 필요한 조리를 전담한 주방 권역이다. 
정조 17년(1793) 창건, 2023년 복원. 을묘 원행의 하이라이트였던 혜경궁 회갑연 준비를 위해 별주 및 비장청 주변에 임시 조리동을 더해 어상(御床)과 대규모 연향 음식을 분산 조리했다. 
별주는 ㄱ자형 별주대청과 맞은편 행각으로 이루어져, 
대청은 문서·관리 공간, 행각은 식재료·그릇 등 집기 보관용으로 쓰였다. 
『정리의궤』 「행궁전도」에는 당시 별주 권역의 담장 구성과 부속시설 변화가 확인되며, 
최근(2023) 실측 기반 디지털 에셋(3D)로도 정비되었다.",https://www.swcf.or.kr/?idx=208&listGubun=list&p=59&viewMode=view&utm_source=chatgpt.com,"행궁 내 왕실 연회, 진찬, 능행에 필요한 조리를 전담한 주방 권역이다.
정조 17년, 1793년에 창건되었고, 2023년에 복원되었다.
을묘 원행의 하이라이트였던 혜경궁 회갑연 준비를 위해, 
별주와 비장청 주변에 임시 조리동을 더해 어상과 대규모 연향 음식을 분산 조리했다.
별주는 ㄱ자형 별주대청과 맞은편 행각으로 이루어졌다.
대청은 문서와 관리 공간으로, 행각은 식재료와 그릇 등 집기 보관용으로 쓰였다.
정리의궤의 행궁전도에는 당시 별주 권역의 담장 구성과 부속시설 변화가 확인되며, 
최근 2023년 실측 기반 디지털 에셋, 3D로도 정비되었다."
8,비장청,비장청,7955,13868,352,행정이나 실무 관련 공간,비장청(裨將廳),"비장청은 행궁과 화성부 전역의 군사·경비·행차 의전 지원을 담당한 중간 지휘기구의 청사다. 
‘비장(裨將)’은 조선시대 군영의 중급 무관 계급으로, 이들이 행정·군수·경비를 관리하면서 
상급 장교(군관)와 하급 병졸을 연결하는 핵심 실무 역할을 맡았다.

비장청은 별주(조리구역), 서리청(행정지원), 남·북군영(군영)과 인접하며, 
행차 기간 동안 진영 배치, 군량 점검, 의식 행렬 동선, 호위 인원 배정, 신호 체계 등을 총괄했다. 
『화성성역의궤』 기록에 따르면, 행차 시 비장은 30~50명 규모로 편성되며, 주변에 군졸 대기 초소도 함께 배치됐다.

건물 형태는 일반 행랑채 구조에 가까우며, 마룻바닥 대청과 온돌방을 포함한다. 
행정 문서와 무기, 깃발, 의장 장비, 군복 등이 함께 보관되기도 했다. 
현재는 복원 작업을 통해 외형과 실내 일부 가구 배치가 재현되었으며, 
화성행궁의 군사적 실무기구를 상징하는 공간으로 안내된다.",,"비장청은 행궁과 화성부 전역의 군사, 경비, 행차 의전 지원을 담당한 중간 지휘기구의 청사다.
‘비장’은 조선시대 군영의 중급 무관 계급으로, 이들이 행정, 군수, 경비를 관리하면서 상급 장교인 군관과 하급 병졸을 연결하는 핵심 실무 역할을 맡았다.
비장청은 별주, 조리 구역과 서리청, 행정 지원 기관, 그리고 남군영과 북군영 같은 군영과 인접해 있다.
행차 기간 동안 진영 배치, 군량 점검, 의식 행렬 동선, 호위 인원 배정, 신호 체계 등을 총괄했다.
화성성역의궤 기록에 따르면, 행차 시 비장은 30명에서 50명 규모로 편성되었으며, 주변에는 군졸 대기 초소도 함께 배치되었다.
건물 형태는 일반 행랑채 구조에 가깝고, 마룻바닥 대청과 온돌방을 포함한다.
행정 문서와 무기, 깃발, 의장 장비, 군복 등이 함께 보관되기도 했다.
현재는 복원 작업을 통해 외형과 실내 일부 가구 배치가 재현되었으며, 화성행궁의 군사적 실무기구를 상징하는 공간으로 안내된다."
9,서리청,서리청,10333,13868,352,관리 및 문서 업무 공간,서리청(書吏廳),"서리청은 말 그대로 ‘서리(書吏, 서기·서기관 역할을 맡은 하급 관리)’들이 근무하던 관청 건물이다. 
화성행궁의 각종 의례, 숙박, 접대, 문서 처리, 명부 관리, 회계 및 물자 집계 업무를 담당했다. 
정조의 화성 행차 기간에는 수백 명 규모의 인원 동원이 이루어졌기 때문에, 
이들에 대한 명부·일정·지시 문서가 모두 서리청을 통해 관리되었다.

건물은 행정·문서 중심의 공간답게 다다미형 마루방, 온돌방, 문서고 형태의 협소한 부속칸 등으로 나뉜다. 
주변에는 집사청·비장청·행대청 등과 연계된 통로가 있어 군사 및 의전 운영과 실시간으로 소통할 수 있었다.

『원행정리의궤』에 따르면 서리청 소속 인원은 대부분 수원부 또는 
경기 지역 아전, 기록 담당 관원, 차자·장부 관리 인력 등으로 구성되었고, 
낙남헌·봉수당의 문서 전달도 이곳을 거쳐 이루어졌다. 
현재 복원된 서리청은 외관과 평면 위주로 재현되어 있으며, 
내부는 전시보다 건물의 배치·상징성 중심으로 보존되고 있다.",,"서리청은 말 그대로 서리, 즉 서기와 서기관 역할을 맡은 하급 관리들이 근무하던 관청 건물이다.
화성행궁의 각종 의례, 숙박, 접대, 문서 처리, 명부 관리, 회계 및 물자 집계 업무를 담당했다.
정조의 화성 행차 기간에는 수백 명 규모의 인원 동원이 이루어졌기 때문에, 이들에 대한 명부와 일정, 지시 문서가 모두 서리청을 통해 관리되었다.
건물은 행정과 문서 중심의 공간답게, 다다미형 마루방과 온돌방, 문서고 형태의 협소한 부속칸 등으로 나뉜다.
주변에는 집사청, 비장청, 행대청 등과 연계된 통로가 있어, 군사 및 의전 운영과 실시간으로 소통할 수 있었다.
원행정리의궤에 따르면, 서리청 소속 인원은 대부분 수원부 또는 경기 지역 아전, 기록 담당 관원, 차자와 장부 관리 인력 등으로 구성되었다.
낙남헌과 봉수당의 문서 전달도 이곳을 거쳐 이루어졌다.
현재 복원된 서리청은 외관과 평면 위주로 재현되어 있으며, 내부는 전시보다는 건물의 배치와 상징성 중심으로 보존되고 있다."
10,남군영,남군영,13124,13208,421,군사 또는 수비 병력 주둔지,남군영(南軍營),"남군영은 화성행궁 남측에 배치된 군영으로, 장용영(壯勇營) 또는 수어청 계열 병력이 주둔하거나 대기하던 공간이다. 
북군영과 짝을 이루며, 행궁 방어·의장대 편성·행렬 정비·호위 병력 운용 등에 활용되었다.
정조는 화성을 ‘군사·행정·의례 복합도시’로 구상했으며, 남군영은 그중 행궁 경비와 왕 호위 병력을 전담한 핵심 거점이다. 
병사들의 숙영 공간뿐만 아니라, 무기고, 갑주 보관처, 훈련 및 대기 장소도 겸했다.

남군영의 건물은 행랑 구조를 기본으로 하며, 장교가 머무는 온돌방, 병사용 마룻간, 병기보관칸으로 구분되었다. 
외부 순찰 동선과 연결되고, 비상 시 좌익문–신풍루 축선까지 신속한 이동이 가능하도록 배치되었다.

현재 복원된 남군영 구역은 규모가 축소되어 있지만, 
주변 지형과 조망, 담장 형태를 통해 군사 배치의 맥락을 확인할 수 있도록 구성되어 있다.",,"남군영은 화성행궁 남측에 배치된 군영으로, 장용영 또는 수어청 계열 병력이 주둔하거나 대기하던 공간이다.
북군영과 짝을 이루며, 행궁 방어, 의장대 편성, 행렬 정비, 호위 병력 운용 등에 활용되었다.
정조는 화성을 군사, 행정, 의례가 결합된 복합도시로 구상했으며, 남군영은 그중 행궁 경비와 왕 호위 병력을 전담한 핵심 거점이다.
병사들의 숙영 공간뿐만 아니라, 무기고, 갑주 보관처, 훈련 및 대기 장소도 겸했다.
남군영의 건물은 행랑 구조를 기본으로 하며, 장교가 머무는 온돌방, 병사용 마룻간, 병기 보관칸으로 구분되었다.
외부 순찰 동선과 연결되고, 비상 시 좌익문과 신풍루 축선까지 신속한 이동이 가능하도록 배치되었다.
현재 복원된 남군영 구역은 규모가 축소되어 있지만, 주변 지형과 조망, 담장 형태를 통해 군사 배치의 맥락을 확인할 수 있도록 구성되어 있다."
11,신풍루,신풍루,12536,11048,101,출입 또는 검문 관련 역할,신풍루(新豐樓),"화성행궁의 정문 겸 누각이다. 본래 정조 13년(1790) ‘진남루(鎭南樓)’로 건립되었고, 
정조가 화성을 ‘새로운 고향’으로 삼겠다는 의지를 담아 1795년께 ‘신풍루’로 개칭했다. 
화성행궁 동향(東向) 축선의 시발점으로, 신풍루–좌익문–중양문–봉수당이 일직선으로 배치된다.
정조가 행차할 때 어가가 통과하는 상징적 문이자, 행궁 광장 의례(진찬·시사·진휼 등)의 무대가 된 공간이다. 
『화성성역의궤』에는 상층(누각) 6칸 규모, 남·북 군영과 좌우 각간이 더해져 총 27칸으로 확장되었다는 기록이 남아 있다.
오늘날에도 신풍루 앞마당은 무예24기 시연 등 상설 공연의 무대로 활용된다",https://en.wikipedia.org/wiki/Hwaseong_Fortress?utm_source=chatgpt.com,"화성행공의 정문 겹 누각이다.
본래 정조 13년, 1790년에 진남로로 건립되었고
정조가 화성을 새로운 고향으로 삼겠다는 의지를 담아
1795년께 신풍로로 개칭했다.
화성행공 동양 축선의 시발점으로
신풍로에서 좌행문, 중양문, 동수당이 일직선으로 배치된다."
12,집사청,집사청,9555,6915,4949,지휘 또는 실무 책임 공간,집사청(執事廳),"집사청은 의전 실무와 행사 집행, 물품 관리, 숙박·연회 지원을 총괄하던 조직의 청사다. 
이름 그대로 ‘집사(執事)’ 역할을 한 관리·나인·시종 등이 출입하며, 봉수당·낙남헌·별주·이안청 등으로 필요한 인력과 물자를 전달했다.
정조가 화성행궁에서 거행한 회갑진찬, 활쏘기 시사, 과거 별시 등 주요 의례는 모두 집사청의 실무 조율 아래 준비되었다. 
왕의 의복·장신구, 음식 준비, 진설 도구, 휴식 공간 배정, 내빈 안내 등도 이곳에서 명령·분장되었다.

집사청 건물은 온돌방, 마룻대청, 부엌 또는 창고 기능이 결합된 구조로 재현되었으며, 
별주와 서리청을 잇는 중간 위치에 있어 조리·행정·의전 사이의 연결을 담당한다. 
『진찬도』 속 상차림·기물·장막·조명·음향 요소도 집사청의 관리 아래 수행된 것으로 기록된다.
현재는 부분 복원 및 외관 위주 정비 형태지만, 
해설 프로그램이나 학술 자료에서는 ‘행궁 운영의 허브 역할’로 자주 언급되는 건물이다.",,"집사청은 의전 실무와 행사 집행, 물품 관리, 숙박과 연회 지원을 총괄하던 조직의 청사다.
이름 그대로 집사 역할을 한 관리, 나인, 시종 등이 출입하며, 봉수당과 낙남헌, 별주, 이안청 등으로 필요한 인력과 물자를 전달했다.
정조가 화성행궁에서 거행한 회갑진찬, 활쏘기 시사, 과거 별시 등 주요 의례는 모두 집사청의 실무 조율 아래 준비되었다.
왕의 의복과 장신구, 음식 준비, 진설 도구, 휴식 공간 배정, 내빈 안내 등도 이곳에서 명령되고 분장되었다.
집사청 건물은 온돌방, 마룻대청, 부엌 또는 창고 기능이 결합된 구조로 재현되었으며, 별주와 서리청을 잇는 중간 위치에 있어 조리, 행정, 의전 사이의 연결을 담당한다.
진찬도 속 상차림, 기물, 장막, 조명, 음향 요소도 집사청의 관리 아래 수행된 것으로 기록된다.
현재는 부분 복원과 외관 위주 정비 형태지만, 해설 프로그램이나 학술 자료에서는 행궁 운영의 허브 역할로 자주 언급되는 건물이다."
13,북군영,북군영,13415,8979,50,군영 또는 병력 상주 구역,북군영(北軍營),"북군영은 화성행궁 북측에 배치된 군영으로, 남군영과 짝을 이루며 행궁의 군사적 방어 및 호위 체계를 좌·우로 분담하는 역할을 했다. 
정조가 화성을 신도시이자 친행 거점으로 삼으면서 군사력의 상시 주둔과 의전 병력의 운용을 중시했는데, 
이를 실질적으로 담당한 조직 중 하나가 북군영이다.",,"북군영은 화성행궁 북측에 배치된 군영으로, 남군영과 짝을 이루며 행궁의 군사적 방어와 호위 체계를 좌우로 분담하는 역할을 했다.
정조가 화성을 신도시이자 친행 거점으로 삼으면서, 군사력의 상시 주둔과 의전 병력의 운용을 중시했는데, 이를 실질적으로 담당한 조직 중 하나가 북군영이다."
14,어정,어정,-12114,-3061,-16,급수 또는 식수 관련 시설,어정(御井),"어정은 ‘임금이 사용할 수 있는 우물’을 뜻하며, 화성행궁 내에서 식수·의례·조리에 직접 활용되도록 준비된 왕실 전용 수원(水源) 시설이다. 
일반 조정 건물에 있는 우물과 달리, 어정은 청결과 안전, 의전 상징성을 모두 고려해 배치되었다.",,"어정은 임금이 사용할 수 있는 우물을 뜻하며, 화성행궁 내에서 식수, 의례, 조리에 직접 활용되도록 준비된 왕실 전용 수원 시설이다.
일반 조정 건물에 있는 우물과 달리, 어정은 청결과 안전, 그리고 의전적 상징성을 모두 고려해 배치되었다."
15,이안청,이안청,-10860,-8777,466,관리 또는 의전 관련 전각,이안청(移安廳),"이안청은 왕실의 물품, 의복, 문서, 침구, 진설 도구 등 ‘귀중품의 임시 보관·안치’를 담당하던 청사이다. 
‘이안(移安)’이라는 말 자체가 ‘옮겨 놓고 안전하게 둔다’는 뜻을 담고 있어, 
행차나 의전 시 필요한 물품을 수용·관리하는 공간이라는 점이 강조된다.",,"이안청은 왕실의 물품, 의복, 문서, 침구, 진설 도구 등, 귀중품의 임시 보관과 안치를 담당하던 청사이다.
‘이안’이라는 말 자체가 옮겨 놓고 안전하게 둔다는 뜻을 담고 있어, 행차나 의전 시 필요한 물품을 수용하고 관리하는 공간이라는 점이 강조된다."
16,행대청,행대청,-8660,-2737,852,실무 또는 집무 관련 건물,행대청(行待廳),"행대청은 국왕 또는 왕실 인물이 행차 이동 또는 의례에 앞서 ‘대기하거나 준비를 갖추던 청사’다. 
‘行待’라는 말 그대로, 주행(周行) 중 멈추어 서서 대기하는 곳, 
지휘 장교나 수행원이 모이는 중간 조정소 역할을 했다.",,"행대청은 국왕 또는 왕실 인물이 행차 이동이나 의례에 앞서 대기하거나 준비를 갖추던 청사다.
‘행대’라는 말 그대로, 이동 중 멈추어 서서 대기하는 곳이자, 지휘 장교나 수행원이 모이는 중간 조정소 역할을 했다."
17,운한각,운한각,-10626,-6373,-16,휴식 또는 숙소에 준하는 전각,운한각(雲漢閣),"운한각은 ‘하늘의 은하수(雲漢)를 바라본다’는 의미를 담은 누각 형태의 건물로, 
화성행궁의 북측 또는 후원 영역에서 조망·휴식·의전 겸용 공간으로 활용되었다. 
조선시대 별당누각이나 정자와 유사한 역할을 하며, 정조의 심신 휴식 또는 문신·학자 접견 장소로도 기능했다.",,"운한각은 하늘의 은하수를 바라본다는 의미를 담은 누각 형태의 건물로, 화성행궁의 북측 또는 후원 영역에서 조망, 휴식, 의전 겸용 공간으로 활용되었다.
조선시대 별당누각이나 정자와 유사한 역할을 하며, 정조의 심신 휴식 또는 문신과 학자 접견 장소로도 기능했다."
18,재실,재실,-7720,-10745,351,관리인 또는 관계자 휴식처,재실(齋室),"재실은 제향(祭享)이나 의례 준비, 유교적 정결 의식을 위한 ‘숙정(肅靜)·정결 공간’이다. 
화성행궁에서는 국왕, 대비, 문신, 관리 등이 제사·의식·헌작 등에 앞서 몸과 마음을 정갈히 하거나, 
의복을 갈아입거나, 일시적으로 머무는 방으로 활용되었다.",,"재실은 제향이나 의례 준비, 유교적 정결 의식을 위한 숙정과 정결 공간이다.
화성행궁에서는 국왕, 대비, 문신, 관리 등이 제사, 의식, 헌작 등에 앞서 몸과 마음을 정갈히 하거나, 의복을 갈아입거나, 일시적으로 머무는 방으로 활용되었다."